xx,yy,time
339.167,134.5,1
467.237,135.868,1
626.714,135.714,1
219.423,136.192,1
46.045,137.136,1
416.5,136.667,1
458.088,137.382,1
533,136.7,1
560.423,137.269,1
610.071,137.5,1
346.033,138.367,1
358.115,138.115,1
432.9,138.1,1
593.875,138.375,1
577.367,138.967,1
635.571,139.071,1
336,140,1
449.367,140.167,1
492,140,1
407.567,141.167,1
424.318,142.318,1
482.115,141.885,1
212.857,143.286,1
473.286,143.071,1
551.115,142.885,1
569.115,142.885,1
602.5,142.667,1
618.6,142.6,1
440.633,144.033,1
586.643,144.071,1
463,145.214,1
192.115,146.115,1
415.633,146.033,1
455.25,146.167,1
610.857,146.714,1
627.853,146.029,1
39.167,146.611,1
201.583,146.667,1
498.417,147.667,1
560.115,146.885,1
49.083,147.75,1
432,147.786,1
577.214,148.143,1
230.033,149.633,1
448.125,149.5,1
488.7,149.233,1
594.833,148.611,1
637.562,149.188,1
479.1,150.5,1
219.367,150.967,1
618.833,150.611,1
196.667,151.167,1
209.786,152,1
423.1,152.1,1
469.633,152.033,1
568.214,152,1
603.1,152.1,1
439.447,153.711,1
456.143,153.714,1
584.9,153.9,1
412.967,155.367,1
42.682,156.318,1
182.5,156.333,1
192,155.786,1
201.367,156.167,1
246.409,155.864,1
611.5,156.125,1
630.357,156.071,1
172.857,157.286,1
431.152,158.152,1
493.633,156.967,1
560.143,157.571,1
576.033,157.633,1
52.409,157.864,1
225.633,158.033,1
236.962,158.346,1
484.222,158.833,1
595.9,157.9,1
448,158.786,1
215.633,160.033,1
475,160,1
356.583,161.333,1
420.214,161,1
621.167,160.389,1
637.786,160.643,1
464.3,160.9,1
604.409,161.864,1
439,163.214,1
583.577,162.808,1
36.136,164.045,1
187.833,164.233,1
207.1,163.9,1
455.633,164.033,1
46.808,165.423,1
139.75,165.333,1
178.625,165.125,1
197.7,165.25,1
340.346,164.962,1
411.214,165,1
613.722,164.611,1
629.409,165.591,1
159.658,166.184,1
169.367,166.167,1
231,166,1
242.25,166.167,1
489.1,166.1,1
